"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"285","Union Station Drive Northeast, Northeast Washington, Washington","1","7500 14th Street Northwest, Northwest Washington, Washington","3/16/2019 - 3/16/2019, Every day, Daily Average",1838,1521,2219
"285","Union Station Drive Northeast, Northeast Washington, Washington","2","5300 43rd Street Northwest, Northwest Washington, Washington","3/16/2019 - 3/16/2019, Every day, Daily Average",1660,1327,2075
"285","Union Station Drive Northeast, Northeast Washington, Washington","3","Massachusetts-39th Trail, Northwest Washington, Washington","3/16/2019 - 3/16/2019, Every day, Daily Average",1615,1332,1956
"285","Union Station Drive Northeast, Northeast Washington, Washington","4","1600 21st Street Northwest, Northwest Washington, Washington","3/16/2019 - 3/16/2019, Every day, Daily Average",1123,873,1444
"285","Union Station Drive Northeast, Northeast Washington, Washington","5","2400 Martin Luther King Junior Avenue Southeast, Southeast Washington, Washington","3/16/2019 - 3/16/2019, Every day, Daily Average",1066,789,1439
"285","Union Station Drive Northeast, Northeast Washington, Washington","6","800 Mount Vernon Place Northwest, Northwest Washington, Washington","3/16/2019 - 3/16/2019, Every day, Daily Average",535,377,758
"285","Union Station Drive Northeast, Northeast Washington, Washington","7","1700 A Street Southeast, Southeast Washington, Washington","3/16/2019 - 3/16/2019, Every day, Daily Average",824,604,1123
"285","Union Station Drive Northeast, Northeast Washington, Washington","8","1600 North Portal Drive Northwest, Northwest Washington, Washington","3/16/2019 - 3/16/2019, Every day, Daily Average",1789,1500,2133
"285","Union Station Drive Northeast, Northeast Washington, Washington","9","1400 Leegate Road Northwest, Northwest Washington, Washington","3/16/2019 - 3/16/2019, Every day, Daily Average",1898,1598,2253
"285","Union Station Drive Northeast, Northeast Washington, Washington","11","Joyce Road Northwest, Northwest Washington, Washington","3/16/2019 - 3/16/2019, Every day, Daily Average",1539,1247,1899
"285","Union Station Drive Northeast, Northeast Washington, Washington","13","7400 9th Street Northwest, Northwest Washington, Washington","3/16/2019 - 3/16/2019, Every day, Daily Average",1245,1048,1478
"285","Union Station Drive Northeast, Northeast Washington, Washington","14","1300 Dahlia Street Northwest, Northwest Washington, Washington","3/16/2019 - 3/16/2019, Every day, Daily Average",1631,1309,2032
"285","Union Station Drive Northeast, Northeast Washington, Washington","16","700 Elder Street Northwest, Northwest Washington, Washington","3/16/2019 - 3/16/2019, Every day, Daily Average",1207,900,1618
"285","Union Station Drive Northeast, Northeast Washington, Washington","17","6300 31st Street Northwest, Northwest Washington, Washington","3/16/2019 - 3/16/2019, Every day, Daily Average",1852,1614,2124
"285","Union Station Drive Northeast, Northeast Washington, Washington","18","300 Carroll Street Northwest, Northwest Washington, Washington","3/16/2019 - 3/16/2019, Every day, Daily Average",1093,915,1305
"285","Union Station Drive Northeast, Northeast Washington, Washington","19","500 Butternut Street Northwest, Northwest Washington, Washington","3/16/2019 - 3/16/2019, Every day, Daily Average",1154,987,1348
"285","Union Station Drive Northeast, Northeast Washington, Washington","20","3200 Patterson Street Northwest, Northwest Washington, Washington","3/16/2019 - 3/16/2019, Every day, Daily Average",1601,1363,1879
"285","Union Station Drive Northeast, Northeast Washington, Washington","21","400 Butternut Street Northwest, Northwest Washington, Washington","3/16/2019 - 3/16/2019, Every day, Daily Average",1055,799,1392
"285","Union Station Drive Northeast, Northeast Washington, Washington","23","800 Whittier Place Northwest, Northwest Washington, Washington","3/16/2019 - 3/16/2019, Every day, Daily Average",1505,1187,1906
"285","Union Station Drive Northeast, Northeast Washington, Washington","25","1300 Somerset Place Northwest, Northwest Washington, Washington","3/16/2019 - 3/16/2019, Every day, Daily Average",1509,1215,1873
"285","Union Station Drive Northeast, Northeast Washington, Washington","26","6600 4th Street Northwest, Northwest Washington, Washington","3/16/2019 - 3/16/2019, Every day, Daily Average",1017,842,1227
"285","Union Station Drive Northeast, Northeast Washington, Washington","27","5700 Chevy Chase Parkway Northwest, Northwest Washington, Washington","3/16/2019 - 3/16/2019, Every day, Daily Average",1697,1383,2080
"285","Union Station Drive Northeast, Northeast Washington, Washington","28","0 Tuckerman Street Northwest, Northwest Washington, Washington","3/16/2019 - 3/16/2019, Every day, Daily Average",1217,850,1740
"285","Union Station Drive Northeast, Northeast Washington, Washington","29","700 Quackenbos Street Northwest, Northwest Washington, Washington","3/16/2019 - 3/16/2019, Every day, Daily Average",1288,1000,1657
"285","Union Station Drive Northeast, Northeast Washington, Washington","30","2800 Kanawha Street Northwest, Northwest Washington, Washington","3/16/2019 - 3/16/2019, Every day, Daily Average",1585,1317,1906
