"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"285","Union Station Drive Northeast, Northeast Washington, Washington","1","7500 14th Street Northwest, Northwest Washington, Washington","3/21/2019 - 3/21/2019, Every day, Daily Average",1748,1301,2347
"285","Union Station Drive Northeast, Northeast Washington, Washington","2","5300 43rd Street Northwest, Northwest Washington, Washington","3/21/2019 - 3/21/2019, Every day, Daily Average",2078,1758,2455
"285","Union Station Drive Northeast, Northeast Washington, Washington","3","Massachusetts-39th Trail, Northwest Washington, Washington","3/21/2019 - 3/21/2019, Every day, Daily Average",1821,1364,2429
"285","Union Station Drive Northeast, Northeast Washington, Washington","4","1600 21st Street Northwest, Northwest Washington, Washington","3/21/2019 - 3/21/2019, Every day, Daily Average",1258,923,1714
"285","Union Station Drive Northeast, Northeast Washington, Washington","5","2400 Martin Luther King Junior Avenue Southeast, Southeast Washington, Washington","3/21/2019 - 3/21/2019, Every day, Daily Average",1356,841,2183
"285","Union Station Drive Northeast, Northeast Washington, Washington","6","800 Mount Vernon Place Northwest, Northwest Washington, Washington","3/21/2019 - 3/21/2019, Every day, Daily Average",636,434,930
"285","Union Station Drive Northeast, Northeast Washington, Washington","7","1700 A Street Southeast, Southeast Washington, Washington","3/21/2019 - 3/21/2019, Every day, Daily Average",848,583,1231
"285","Union Station Drive Northeast, Northeast Washington, Washington","11","Joyce Road Northwest, Northwest Washington, Washington","3/21/2019 - 3/21/2019, Every day, Daily Average",1671,1217,2292
"285","Union Station Drive Northeast, Northeast Washington, Washington","13","7400 9th Street Northwest, Northwest Washington, Washington","3/21/2019 - 3/21/2019, Every day, Daily Average",1577,1122,2215
"285","Union Station Drive Northeast, Northeast Washington, Washington","14","1300 Dahlia Street Northwest, Northwest Washington, Washington","3/21/2019 - 3/21/2019, Every day, Daily Average",1714,1245,2358
"285","Union Station Drive Northeast, Northeast Washington, Washington","16","700 Elder Street Northwest, Northwest Washington, Washington","3/21/2019 - 3/21/2019, Every day, Daily Average",1509,1089,2090
"285","Union Station Drive Northeast, Northeast Washington, Washington","17","6300 31st Street Northwest, Northwest Washington, Washington","3/21/2019 - 3/21/2019, Every day, Daily Average",2321,1602,3361
"285","Union Station Drive Northeast, Northeast Washington, Washington","18","300 Carroll Street Northwest, Northwest Washington, Washington","3/21/2019 - 3/21/2019, Every day, Daily Average",1367,974,1917
"285","Union Station Drive Northeast, Northeast Washington, Washington","19","500 Butternut Street Northwest, Northwest Washington, Washington","3/21/2019 - 3/21/2019, Every day, Daily Average",1497,1158,1933
"285","Union Station Drive Northeast, Northeast Washington, Washington","20","3200 Patterson Street Northwest, Northwest Washington, Washington","3/21/2019 - 3/21/2019, Every day, Daily Average",1747,1336,2283
"285","Union Station Drive Northeast, Northeast Washington, Washington","21","400 Butternut Street Northwest, Northwest Washington, Washington","3/21/2019 - 3/21/2019, Every day, Daily Average",1338,944,1894
"285","Union Station Drive Northeast, Northeast Washington, Washington","23","800 Whittier Place Northwest, Northwest Washington, Washington","3/21/2019 - 3/21/2019, Every day, Daily Average",1771,1229,2551
"285","Union Station Drive Northeast, Northeast Washington, Washington","25","1300 Somerset Place Northwest, Northwest Washington, Washington","3/21/2019 - 3/21/2019, Every day, Daily Average",1653,1181,2313
"285","Union Station Drive Northeast, Northeast Washington, Washington","26","6600 4th Street Northwest, Northwest Washington, Washington","3/21/2019 - 3/21/2019, Every day, Daily Average",1256,887,1777
"285","Union Station Drive Northeast, Northeast Washington, Washington","27","5700 Chevy Chase Parkway Northwest, Northwest Washington, Washington","3/21/2019 - 3/21/2019, Every day, Daily Average",1714,1360,2159
"285","Union Station Drive Northeast, Northeast Washington, Washington","29","700 Quackenbos Street Northwest, Northwest Washington, Washington","3/21/2019 - 3/21/2019, Every day, Daily Average",1474,1043,2081
"285","Union Station Drive Northeast, Northeast Washington, Washington","30","2800 Kanawha Street Northwest, Northwest Washington, Washington","3/21/2019 - 3/21/2019, Every day, Daily Average",1780,1322,2394
"285","Union Station Drive Northeast, Northeast Washington, Washington","31","2500 Horse Stable Road, Northwest Washington, Washington","3/21/2019 - 3/21/2019, Every day, Daily Average",1692,1236,2315
"285","Union Station Drive Northeast, Northeast Washington, Washington","32","200 Quackenbos Street Northwest, Northwest Washington, Washington","3/21/2019 - 3/21/2019, Every day, Daily Average",1245,875,1770
