"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"285","Union Station Drive Northeast, Northeast Washington, Washington","1","7500 14th Street Northwest, Northwest Washington, Washington","3/15/2019 - 3/15/2019, Every day, Daily Average",2152,1775,2609
"285","Union Station Drive Northeast, Northeast Washington, Washington","2","5300 43rd Street Northwest, Northwest Washington, Washington","3/15/2019 - 3/15/2019, Every day, Daily Average",2233,1846,2700
"285","Union Station Drive Northeast, Northeast Washington, Washington","3","Massachusetts-39th Trail, Northwest Washington, Washington","3/15/2019 - 3/15/2019, Every day, Daily Average",1685,1334,2127
"285","Union Station Drive Northeast, Northeast Washington, Washington","4","1600 21st Street Northwest, Northwest Washington, Washington","3/15/2019 - 3/15/2019, Every day, Daily Average",1218,936,1584
"285","Union Station Drive Northeast, Northeast Washington, Washington","5","2400 Martin Luther King Junior Avenue Southeast, Southeast Washington, Washington","3/15/2019 - 3/15/2019, Every day, Daily Average",1639,1040,2582
"285","Union Station Drive Northeast, Northeast Washington, Washington","6","800 Mount Vernon Place Northwest, Northwest Washington, Washington","3/15/2019 - 3/15/2019, Every day, Daily Average",580,419,801
"285","Union Station Drive Northeast, Northeast Washington, Washington","7","1700 A Street Southeast, Southeast Washington, Washington","3/15/2019 - 3/15/2019, Every day, Daily Average",826,630,1081
"285","Union Station Drive Northeast, Northeast Washington, Washington","8","1600 North Portal Drive Northwest, Northwest Washington, Washington","3/15/2019 - 3/15/2019, Every day, Daily Average",2309,1898,2808
"285","Union Station Drive Northeast, Northeast Washington, Washington","11","Joyce Road Northwest, Northwest Washington, Washington","3/15/2019 - 3/15/2019, Every day, Daily Average",1730,1340,2233
"285","Union Station Drive Northeast, Northeast Washington, Washington","13","7400 9th Street Northwest, Northwest Washington, Washington","3/15/2019 - 3/15/2019, Every day, Daily Average",1429,1085,1880
"285","Union Station Drive Northeast, Northeast Washington, Washington","14","1300 Dahlia Street Northwest, Northwest Washington, Washington","3/15/2019 - 3/15/2019, Every day, Daily Average",2045,1656,2524
"285","Union Station Drive Northeast, Northeast Washington, Washington","16","700 Elder Street Northwest, Northwest Washington, Washington","3/15/2019 - 3/15/2019, Every day, Daily Average",1547,1141,2096
"285","Union Station Drive Northeast, Northeast Washington, Washington","17","6300 31st Street Northwest, Northwest Washington, Washington","3/15/2019 - 3/15/2019, Every day, Daily Average",1895,1680,2136
"285","Union Station Drive Northeast, Northeast Washington, Washington","18","300 Carroll Street Northwest, Northwest Washington, Washington","3/15/2019 - 3/15/2019, Every day, Daily Average",1329,983,1795
"285","Union Station Drive Northeast, Northeast Washington, Washington","19","500 Butternut Street Northwest, Northwest Washington, Washington","3/15/2019 - 3/15/2019, Every day, Daily Average",1585,1161,2163
"285","Union Station Drive Northeast, Northeast Washington, Washington","20","3200 Patterson Street Northwest, Northwest Washington, Washington","3/15/2019 - 3/15/2019, Every day, Daily Average",1779,1468,2155
"285","Union Station Drive Northeast, Northeast Washington, Washington","21","400 Butternut Street Northwest, Northwest Washington, Washington","3/15/2019 - 3/15/2019, Every day, Daily Average",1254,918,1712
"285","Union Station Drive Northeast, Northeast Washington, Washington","23","800 Whittier Place Northwest, Northwest Washington, Washington","3/15/2019 - 3/15/2019, Every day, Daily Average",1813,1427,2302
"285","Union Station Drive Northeast, Northeast Washington, Washington","25","1300 Somerset Place Northwest, Northwest Washington, Washington","3/15/2019 - 3/15/2019, Every day, Daily Average",1665,1271,2180
"285","Union Station Drive Northeast, Northeast Washington, Washington","26","6600 4th Street Northwest, Northwest Washington, Washington","3/15/2019 - 3/15/2019, Every day, Daily Average",1222,908,1644
"285","Union Station Drive Northeast, Northeast Washington, Washington","27","5700 Chevy Chase Parkway Northwest, Northwest Washington, Washington","3/15/2019 - 3/15/2019, Every day, Daily Average",1980,1579,2481
"285","Union Station Drive Northeast, Northeast Washington, Washington","28","0 Tuckerman Street Northwest, Northwest Washington, Washington","3/15/2019 - 3/15/2019, Every day, Daily Average",1452,1017,2072
"285","Union Station Drive Northeast, Northeast Washington, Washington","29","700 Quackenbos Street Northwest, Northwest Washington, Washington","3/15/2019 - 3/15/2019, Every day, Daily Average",1557,1150,2107
"285","Union Station Drive Northeast, Northeast Washington, Washington","30","2800 Kanawha Street Northwest, Northwest Washington, Washington","3/15/2019 - 3/15/2019, Every day, Daily Average",1700,1406,2055
"285","Union Station Drive Northeast, Northeast Washington, Washington","31","2500 Horse Stable Road, Northwest Washington, Washington","3/15/2019 - 3/15/2019, Every day, Daily Average",1612,1320,1968
"285","Union Station Drive Northeast, Northeast Washington, Washington","32","200 Quackenbos Street Northwest, Northwest Washington, Washington","3/15/2019 - 3/15/2019, Every day, Daily Average",1306,924,1844
"285","Union Station Drive Northeast, Northeast Washington, Washington","33","5900 Sligo Mill Road Northeast, Northeast Washington, Washington","3/15/2019 - 3/15/2019, Every day, Daily Average",1321,966,1804
"285","Union Station Drive Northeast, Northeast Washington, Washington","34","3900 Livingston Street Northwest, Northwest Washington, Washington","3/15/2019 - 3/15/2019, Every day, Daily Average",2032,1642,2513
"285","Union Station Drive Northeast, Northeast Washington, Washington","35","300 Oglethorpe Street Northeast, Northeast Washington, Washington","3/15/2019 - 3/15/2019, Every day, Daily Average",1418,963,2086
"285","Union Station Drive Northeast, Northeast Washington, Washington","36","5400 42nd Street Northwest, Northwest Washington, Washington","3/15/2019 - 3/15/2019, Every day, Daily Average",2053,1673,2518
"285","Union Station Drive Northeast, Northeast Washington, Washington","37","0 Longfellow Street Northwest, Northwest Washington, Washington","3/15/2019 - 3/15/2019, Every day, Daily Average",1254,872,1801
"285","Union Station Drive Northeast, Northeast Washington, Washington","38","0 Wisconsin Circle, Northwest Washington, Chevy Chase","3/15/2019 - 3/15/2019, Every day, Daily Average",2127,1791,2525
