"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"285","Union Station Drive Northeast, Northeast Washington, Washington","1","7500 14th Street Northwest, Northwest Washington, Washington","3/23/2019 - 3/23/2019, Every day, Daily Average",1780,1369,2313
"285","Union Station Drive Northeast, Northeast Washington, Washington","2","5300 43rd Street Northwest, Northwest Washington, Washington","3/23/2019 - 3/23/2019, Every day, Daily Average",2013,1689,2397
"285","Union Station Drive Northeast, Northeast Washington, Washington","3","Massachusetts-39th Trail, Northwest Washington, Washington","3/23/2019 - 3/23/2019, Every day, Daily Average",1426,1164,1746
"285","Union Station Drive Northeast, Northeast Washington, Washington","4","1600 21st Street Northwest, Northwest Washington, Washington","3/23/2019 - 3/23/2019, Every day, Daily Average",1068,829,1375
"285","Union Station Drive Northeast, Northeast Washington, Washington","6","800 Mount Vernon Place Northwest, Northwest Washington, Washington","3/23/2019 - 3/23/2019, Every day, Daily Average",527,370,749
"285","Union Station Drive Northeast, Northeast Washington, Washington","7","1700 A Street Southeast, Southeast Washington, Washington","3/23/2019 - 3/23/2019, Every day, Daily Average",736,597,906
"285","Union Station Drive Northeast, Northeast Washington, Washington","9","1400 Leegate Road Northwest, Northwest Washington, Washington","3/23/2019 - 3/23/2019, Every day, Daily Average",1756,1368,2253
"285","Union Station Drive Northeast, Northeast Washington, Washington","11","Joyce Road Northwest, Northwest Washington, Washington","3/23/2019 - 3/23/2019, Every day, Daily Average",1388,1066,1806
"285","Union Station Drive Northeast, Northeast Washington, Washington","13","7400 9th Street Northwest, Northwest Washington, Washington","3/23/2019 - 3/23/2019, Every day, Daily Average",1352,1100,1660
"285","Union Station Drive Northeast, Northeast Washington, Washington","14","1300 Dahlia Street Northwest, Northwest Washington, Washington","3/23/2019 - 3/23/2019, Every day, Daily Average",1709,1295,2254
"285","Union Station Drive Northeast, Northeast Washington, Washington","16","700 Elder Street Northwest, Northwest Washington, Washington","3/23/2019 - 3/23/2019, Every day, Daily Average",1333,1079,1646
"285","Union Station Drive Northeast, Northeast Washington, Washington","18","300 Carroll Street Northwest, Northwest Washington, Washington","3/23/2019 - 3/23/2019, Every day, Daily Average",1123,928,1357
"285","Union Station Drive Northeast, Northeast Washington, Washington","19","500 Butternut Street Northwest, Northwest Washington, Washington","3/23/2019 - 3/23/2019, Every day, Daily Average",1255,1063,1480
"285","Union Station Drive Northeast, Northeast Washington, Washington","20","3200 Patterson Street Northwest, Northwest Washington, Washington","3/23/2019 - 3/23/2019, Every day, Daily Average",1514,1212,1889
"285","Union Station Drive Northeast, Northeast Washington, Washington","21","400 Butternut Street Northwest, Northwest Washington, Washington","3/23/2019 - 3/23/2019, Every day, Daily Average",1066,878,1293
"285","Union Station Drive Northeast, Northeast Washington, Washington","23","800 Whittier Place Northwest, Northwest Washington, Washington","3/23/2019 - 3/23/2019, Every day, Daily Average",1495,1127,1982
"285","Union Station Drive Northeast, Northeast Washington, Washington","25","1300 Somerset Place Northwest, Northwest Washington, Washington","3/23/2019 - 3/23/2019, Every day, Daily Average",1407,1035,1911
"285","Union Station Drive Northeast, Northeast Washington, Washington","26","6600 4th Street Northwest, Northwest Washington, Washington","3/23/2019 - 3/23/2019, Every day, Daily Average",1028,847,1246
"285","Union Station Drive Northeast, Northeast Washington, Washington","27","5700 Chevy Chase Parkway Northwest, Northwest Washington, Washington","3/23/2019 - 3/23/2019, Every day, Daily Average",1583,1253,1998
"285","Union Station Drive Northeast, Northeast Washington, Washington","28","0 Tuckerman Street Northwest, Northwest Washington, Washington","3/23/2019 - 3/23/2019, Every day, Daily Average",1019,873,1188
"285","Union Station Drive Northeast, Northeast Washington, Washington","29","700 Quackenbos Street Northwest, Northwest Washington, Washington","3/23/2019 - 3/23/2019, Every day, Daily Average",1165,915,1482
"285","Union Station Drive Northeast, Northeast Washington, Washington","30","2800 Kanawha Street Northwest, Northwest Washington, Washington","3/23/2019 - 3/23/2019, Every day, Daily Average",1443,1153,1805
"285","Union Station Drive Northeast, Northeast Washington, Washington","31","2500 Horse Stable Road, Northwest Washington, Washington","3/23/2019 - 3/23/2019, Every day, Daily Average",1361,1076,1720
"285","Union Station Drive Northeast, Northeast Washington, Washington","32","200 Quackenbos Street Northwest, Northwest Washington, Washington","3/23/2019 - 3/23/2019, Every day, Daily Average",991,808,1214
