"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"285","Union Station Drive Northeast, Northeast Washington, Washington","2","5300 43rd Street Northwest, Northwest Washington, Washington","3/19/2019 - 3/19/2019, Every day, Daily Average",1980,1618,2422
"285","Union Station Drive Northeast, Northeast Washington, Washington","3","Massachusetts-39th Trail, Northwest Washington, Washington","3/19/2019 - 3/19/2019, Every day, Daily Average",1713,1276,2297
"285","Union Station Drive Northeast, Northeast Washington, Washington","4","1600 21st Street Northwest, Northwest Washington, Washington","3/19/2019 - 3/19/2019, Every day, Daily Average",1150,859,1539
"285","Union Station Drive Northeast, Northeast Washington, Washington","6","800 Mount Vernon Place Northwest, Northwest Washington, Washington","3/19/2019 - 3/19/2019, Every day, Daily Average",573,399,821
"285","Union Station Drive Northeast, Northeast Washington, Washington","7","1700 A Street Southeast, Southeast Washington, Washington","3/19/2019 - 3/19/2019, Every day, Daily Average",920,632,1337
"285","Union Station Drive Northeast, Northeast Washington, Washington","11","Joyce Road Northwest, Northwest Washington, Washington","3/19/2019 - 3/19/2019, Every day, Daily Average",1590,1198,2109
"285","Union Station Drive Northeast, Northeast Washington, Washington","13","7400 9th Street Northwest, Northwest Washington, Washington","3/19/2019 - 3/19/2019, Every day, Daily Average",1227,1029,1462
"285","Union Station Drive Northeast, Northeast Washington, Washington","14","1300 Dahlia Street Northwest, Northwest Washington, Washington","3/19/2019 - 3/19/2019, Every day, Daily Average",1802,1457,2227
"285","Union Station Drive Northeast, Northeast Washington, Washington","16","700 Elder Street Northwest, Northwest Washington, Washington","3/19/2019 - 3/19/2019, Every day, Daily Average",1343,1004,1794
"285","Union Station Drive Northeast, Northeast Washington, Washington","18","300 Carroll Street Northwest, Northwest Washington, Washington","3/19/2019 - 3/19/2019, Every day, Daily Average",1101,875,1384
"285","Union Station Drive Northeast, Northeast Washington, Washington","19","500 Butternut Street Northwest, Northwest Washington, Washington","3/19/2019 - 3/19/2019, Every day, Daily Average",1410,1136,1749
"285","Union Station Drive Northeast, Northeast Washington, Washington","20","3200 Patterson Street Northwest, Northwest Washington, Washington","3/19/2019 - 3/19/2019, Every day, Daily Average",1739,1338,2259
"285","Union Station Drive Northeast, Northeast Washington, Washington","21","400 Butternut Street Northwest, Northwest Washington, Washington","3/19/2019 - 3/19/2019, Every day, Daily Average",1077,834,1390
"285","Union Station Drive Northeast, Northeast Washington, Washington","23","800 Whittier Place Northwest, Northwest Washington, Washington","3/19/2019 - 3/19/2019, Every day, Daily Average",1808,1304,2506
"285","Union Station Drive Northeast, Northeast Washington, Washington","25","1300 Somerset Place Northwest, Northwest Washington, Washington","3/19/2019 - 3/19/2019, Every day, Daily Average",1581,1150,2172
"285","Union Station Drive Northeast, Northeast Washington, Washington","26","6600 4th Street Northwest, Northwest Washington, Washington","3/19/2019 - 3/19/2019, Every day, Daily Average",1042,816,1329
"285","Union Station Drive Northeast, Northeast Washington, Washington","27","5700 Chevy Chase Parkway Northwest, Northwest Washington, Washington","3/19/2019 - 3/19/2019, Every day, Daily Average",1724,1449,2050
"285","Union Station Drive Northeast, Northeast Washington, Washington","29","700 Quackenbos Street Northwest, Northwest Washington, Washington","3/19/2019 - 3/19/2019, Every day, Daily Average",1277,1002,1626
"285","Union Station Drive Northeast, Northeast Washington, Washington","30","2800 Kanawha Street Northwest, Northwest Washington, Washington","3/19/2019 - 3/19/2019, Every day, Daily Average",1632,1281,2078
"285","Union Station Drive Northeast, Northeast Washington, Washington","31","2500 Horse Stable Road, Northwest Washington, Washington","3/19/2019 - 3/19/2019, Every day, Daily Average",1537,1192,1980
"285","Union Station Drive Northeast, Northeast Washington, Washington","32","200 Quackenbos Street Northwest, Northwest Washington, Washington","3/19/2019 - 3/19/2019, Every day, Daily Average",1056,821,1357
"285","Union Station Drive Northeast, Northeast Washington, Washington","33","5900 Sligo Mill Road Northeast, Northeast Washington, Washington","3/19/2019 - 3/19/2019, Every day, Daily Average",1147,900,1460
"285","Union Station Drive Northeast, Northeast Washington, Washington","34","3900 Livingston Street Northwest, Northwest Washington, Washington","3/19/2019 - 3/19/2019, Every day, Daily Average",1820,1485,2230
"285","Union Station Drive Northeast, Northeast Washington, Washington","35","300 Oglethorpe Street Northeast, Northeast Washington, Washington","3/19/2019 - 3/19/2019, Every day, Daily Average",1155,818,1629
"285","Union Station Drive Northeast, Northeast Washington, Washington","36","5400 42nd Street Northwest, Northwest Washington, Washington","3/19/2019 - 3/19/2019, Every day, Daily Average",1891,1546,2312
"285","Union Station Drive Northeast, Northeast Washington, Washington","37","0 Longfellow Street Northwest, Northwest Washington, Washington","3/19/2019 - 3/19/2019, Every day, Daily Average",1014,774,1326
"285","Union Station Drive Northeast, Northeast Washington, Washington","38","0 Wisconsin Circle, Northwest Washington, Chevy Chase","3/19/2019 - 3/19/2019, Every day, Daily Average",1948,1579,2403
"285","Union Station Drive Northeast, Northeast Washington, Washington","39","Stage Road Northwest, Northwest Washington, Washington","3/19/2019 - 3/19/2019, Every day, Daily Average",2060,1546,2744
"285","Union Station Drive Northeast, Northeast Washington, Washington","40","5700 14th Street Northwest, Northwest Washington, Washington","3/19/2019 - 3/19/2019, Every day, Daily Average",1936,1489,2515
"285","Union Station Drive Northeast, Northeast Washington, Washington","42","600 Jefferson Street Northeast, Northeast Washington, Washington","3/19/2019 - 3/19/2019, Every day, Daily Average",1253,950,1651
"285","Union Station Drive Northeast, Northeast Washington, Washington","43","5100 42nd Street Northwest, Northwest Washington, Washington","3/19/2019 - 3/19/2019, Every day, Daily Average",2002,1625,2465
"285","Union Station Drive Northeast, Northeast Washington, Washington","46","5200 Nebraska Avenue Northwest, Northwest Washington, Washington","3/19/2019 - 3/19/2019, Every day, Daily Average",1654,1290,2119
"285","Union Station Drive Northeast, Northeast Washington, Washington","49","800 Jefferson Street Northwest, Northwest Washington, Washington","3/19/2019 - 3/19/2019, Every day, Daily Average",1474,1214,1789
"285","Union Station Drive Northeast, Northeast Washington, Washington","50","5500 1st Street Northeast, Northeast Washington, Washington","3/19/2019 - 3/19/2019, Every day, Daily Average",951,640,1412
