"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"285","Union Station Drive Northeast, Northeast Washington, Washington","308","0 Columbus Circle Northeast, Northeast Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",128,50,321
"285","Union Station Drive Northeast, Northeast Washington, Washington","309","2100 Virginia Avenue Northwest, Northwest Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",944,665,1338
"285","Union Station Drive Northeast, Northeast Washington, Washington","310","400 E Street Northwest, Northwest Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",373,239,581
"285","Union Station Drive Northeast, Northeast Washington, Washington","311","Jane A Delano and the Nurses Who Died in Service in World War I Memorial, Northwest Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",802,574,1119
"285","Union Station Drive Northeast, Northeast Washington, Washington","312","300 9th Street Northeast, Northeast Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",336,210,537
"285","Union Station Drive Northeast, Northeast Washington, Washington","313","300 36th Street Northeast, Northeast Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",884,673,1160
"285","Union Station Drive Northeast, Northeast Washington, Washington","314","100 Herbert C. Hoover Building, Constitution Avenue Northwest, Northwest Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",678,498,921
"285","Union Station Drive Northeast, Northeast Washington, Washington","315","1300 Pennsylvania Avenue Northwest, Northwest Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",621,472,816
"285","Union Station Drive Northeast, Northeast Washington, Washington","316","900 Pennsylvania Avenue Northwest, Northwest Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",693,532,902
"285","Union Station Drive Northeast, Northeast Washington, Washington","317","300 7th Street Northwest, Northwest Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",618,445,857
"285","Union Station Drive Northeast, Northeast Washington, Washington","318","5700 Blaine Street Northeast, Northeast Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",1212,995,1475
"285","Union Station Drive Northeast, Northeast Washington, Washington","319","2000 C Street Northwest, Northwest Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",816,599,1110
"285","Union Station Drive Northeast, Northeast Washington, Washington","320","3800 Minnesota Avenue Northeast, Northeast Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",883,715,1089
"285","Union Station Drive Northeast, Northeast Washington, Washington","321","Ellipse Road Northwest, Northwest Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",711,524,964
"285","Union Station Drive Northeast, Northeast Washington, Washington","322","Hart Senate Office Building, Northeast Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",260,143,472
"285","Union Station Drive Northeast, Northeast Washington, Washington","323","2100 C Street Northwest, Northwest Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",876,638,1201
"285","Union Station Drive Northeast, Northeast Washington, Washington","324","1100 Constitution Avenue Northwest, Northwest Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",562,426,740
"285","Union Station Drive Northeast, Northeast Washington, Washington","325","300 E. Barrett Prettyman United States Courthouse, Constitution Avenue Northwest, Northwest Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",417,285,609
"285","Union Station Drive Northeast, Northeast Washington, Washington","326","100 46th Street Northeast, Northeast Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",1045,836,1306
"285","Union Station Drive Northeast, Northeast Washington, Washington","327","100 41st Street Northeast, Northeast Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",888,758,1039
"285","Union Station Drive Northeast, Northeast Washington, Washington","328","700 Constitution Avenue Northwest, Northwest Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",519,370,727
"285","Union Station Drive Northeast, Northeast Washington, Washington","329","22nd Street Northeast, Northeast Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",807,633,1027
"285","Union Station Drive Northeast, Northeast Washington, Washington","330","1100 Park Street Northeast, Hill East, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",559,402,777
"285","Union Station Drive Northeast, Northeast Washington, Washington","331","1700 Constitution Avenue Northeast, Northeast Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",685,524,894
"285","Union Station Drive Northeast, Northeast Washington, Washington","332","1500 East Capitol Street Northeast, Northeast Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",717,578,888
"285","Union Station Drive Northeast, Northeast Washington, Washington","334","100 23rd Street Northwest, Northwest Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",987,661,1472
"285","Union Station Drive Northeast, Northeast Washington, Washington","335","600 Rock Creek Park Trails, Southwest Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",745,522,1062
"285","Union Station Drive Northeast, Northeast Washington, Washington","336","0 42nd Street Northeast, Northeast Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",1051,861,1282
"285","Union Station Drive Northeast, Northeast Washington, Washington","337","4900 Central Avenue Northeast, Northeast Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",1215,950,1552
"285","Union Station Drive Northeast, Northeast Washington, Washington","338","2000 Constitution Avenue Northwest, Northwest Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",937,665,1319
