"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"285","Union Station Drive Northeast, Northeast Washington, Washington","1","7500 14th Street Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1666,1483,1871
"285","Union Station Drive Northeast, Northeast Washington, Washington","3","Massachusetts-39th Trail, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1942,1457,2586
"285","Union Station Drive Northeast, Northeast Washington, Washington","4","1600 21st Street Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1338,923,1938
"285","Union Station Drive Northeast, Northeast Washington, Washington","5","2400 Martin Luther King Junior Avenue Southeast, Southeast Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1603,1334,1925
"285","Union Station Drive Northeast, Northeast Washington, Washington","6","800 Mount Vernon Place Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",590,396,877
"285","Union Station Drive Northeast, Northeast Washington, Washington","7","1700 A Street Southeast, Southeast Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",829,621,1105
"285","Union Station Drive Northeast, Northeast Washington, Washington","8","1600 North Portal Drive Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1734,1596,1882
"285","Union Station Drive Northeast, Northeast Washington, Washington","9","1400 Leegate Road Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1957,1644,2328
"285","Union Station Drive Northeast, Northeast Washington, Washington","11","Joyce Road Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1720,1423,2078
"285","Union Station Drive Northeast, Northeast Washington, Washington","13","7400 9th Street Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1413,1126,1773
"285","Union Station Drive Northeast, Northeast Washington, Washington","14","1300 Dahlia Street Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1734,1457,2062
"285","Union Station Drive Northeast, Northeast Washington, Washington","16","700 Elder Street Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1481,1170,1874
"285","Union Station Drive Northeast, Northeast Washington, Washington","17","6300 31st Street Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1846,1532,2224
"285","Union Station Drive Northeast, Northeast Washington, Washington","18","300 Carroll Street Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1232,994,1526
"285","Union Station Drive Northeast, Northeast Washington, Washington","19","500 Butternut Street Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1438,1245,1660
"285","Union Station Drive Northeast, Northeast Washington, Washington","20","3200 Patterson Street Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1974,1665,2340
"285","Union Station Drive Northeast, Northeast Washington, Washington","21","400 Butternut Street Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1218,962,1542
"285","Union Station Drive Northeast, Northeast Washington, Washington","23","800 Whittier Place Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1696,1263,2276
"285","Union Station Drive Northeast, Northeast Washington, Washington","25","1300 Somerset Place Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1626,1254,2107
"285","Union Station Drive Northeast, Northeast Washington, Washington","26","6600 4th Street Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1226,948,1584
"285","Union Station Drive Northeast, Northeast Washington, Washington","27","5700 Chevy Chase Parkway Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",2083,1738,2495
"285","Union Station Drive Northeast, Northeast Washington, Washington","29","700 Quackenbos Street Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1397,1075,1814
"285","Union Station Drive Northeast, Northeast Washington, Washington","30","2800 Kanawha Street Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1882,1554,2278
"285","Union Station Drive Northeast, Northeast Washington, Washington","31","2500 Horse Stable Road, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1792,1467,2187
"285","Union Station Drive Northeast, Northeast Washington, Washington","32","200 Quackenbos Street Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1194,912,1561
"285","Union Station Drive Northeast, Northeast Washington, Washington","33","5900 Sligo Mill Road Northeast, Northeast Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1396,953,2042
"285","Union Station Drive Northeast, Northeast Washington, Washington","34","3900 Livingston Street Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",2163,1813,2579
"285","Union Station Drive Northeast, Northeast Washington, Washington","35","300 Oglethorpe Street Northeast, Northeast Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1458,1023,2076
"285","Union Station Drive Northeast, Northeast Washington, Washington","36","5400 42nd Street Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",2218,1864,2638
"285","Union Station Drive Northeast, Northeast Washington, Washington","37","0 Longfellow Street Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1157,846,1580
"285","Union Station Drive Northeast, Northeast Washington, Washington","38","0 Wisconsin Circle, Northwest Washington, Chevy Chase","3/28/2019 - 3/28/2019, Every day, Daily Average",2370,1983,2831
"285","Union Station Drive Northeast, Northeast Washington, Washington","39","Stage Road Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1693,1483,1932
"285","Union Station Drive Northeast, Northeast Washington, Washington","40","5700 14th Street Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1720,1411,2096
"285","Union Station Drive Northeast, Northeast Washington, Washington","41","Ridge Road Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1849,1688,2024
"285","Union Station Drive Northeast, Northeast Washington, Washington","42","600 Jefferson Street Northeast, Northeast Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1584,1296,1934
"285","Union Station Drive Northeast, Northeast Washington, Washington","46","5200 Nebraska Avenue Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1949,1628,2333
"285","Union Station Drive Northeast, Northeast Washington, Washington","49","800 Jefferson Street Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1569,1219,2018
"285","Union Station Drive Northeast, Northeast Washington, Washington","50","5500 1st Street Northeast, Northeast Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1053,785,1410
"285","Union Station Drive Northeast, Northeast Washington, Washington","51","4400 Garrison Street Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",3526,2195,5663
"285","Union Station Drive Northeast, Northeast Washington, Washington","52","5200 Kansas Avenue Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1321,955,1825
"285","Union Station Drive Northeast, Northeast Washington, Washington","53","4800 Butterworth Place Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",2761,1566,4867
"285","Union Station Drive Northeast, Northeast Washington, Washington","56","1300 Farragut Street Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1639,1329,2020
"285","Union Station Drive Northeast, Northeast Washington, Washington","59","200 Allison Street Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",954,679,1338
"285","Union Station Drive Northeast, Northeast Washington, Washington","60","200 Hawaii Avenue Northeast, Northeast Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",872,634,1198
"285","Union Station Drive Northeast, Northeast Washington, Washington","61","4800 43rd Street Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",2628,1925,3587
"285","Union Station Drive Northeast, Northeast Washington, Washington","63","4500 South Dakota Avenue Northeast, Northeast Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1282,987,1664
"285","Union Station Drive Northeast, Northeast Washington, Washington","66","3100 Gates Road Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1691,1375,2079
"285","Union Station Drive Northeast, Northeast Washington, Washington","67","5000 12th Street Northeast, Northeast Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1430,1105,1849
"285","Union Station Drive Northeast, Northeast Washington, Washington","69","4900 6th Street Northeast, Northeast Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1021,726,1435
"285","Union Station Drive Northeast, Northeast Washington, Washington","71","4500 40th Street Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",2141,1676,2734
"285","Union Station Drive Northeast, Northeast Washington, Washington","72","4800 4th Street Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1481,1235,1775
"285","Union Station Drive Northeast, Northeast Washington, Washington","74","800 Decatur Street Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1466,1095,1961
"285","Union Station Drive Northeast, Northeast Washington, Washington","76","4300 13th Street Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1535,1187,1983
"285","Union Station Drive Northeast, Northeast Washington, Washington","77","600 Webster Street Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1420,1040,1938
"285","Union Station Drive Northeast, Northeast Washington, Washington","78","4500 15th Street Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1511,1288,1772
"285","Union Station Drive Northeast, Northeast Washington, Washington","79","4900 Rodman Street Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",2632,1676,4132
"285","Union Station Drive Northeast, Northeast Washington, Washington","83","Federal Hall, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",2470,1774,3438
"285","Union Station Drive Northeast, Northeast Washington, Washington","84","3800 Windom Place Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",2088,1649,2643
"285","Union Station Drive Northeast, Northeast Washington, Washington","85","3700 Warren Street Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",2287,1937,2699
"285","Union Station Drive Northeast, Northeast Washington, Washington","86","3500 International Court Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",2177,1851,2560
"285","Union Station Drive Northeast, Northeast Washington, Washington","87","4200 Linnean Avenue Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1757,1384,2229
"285","Union Station Drive Northeast, Northeast Washington, Washington","88","1900 Varnum Street Northeast, Northeast Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1171,910,1505
"285","Union Station Drive Northeast, Northeast Washington, Washington","89","4400 8th Street Northeast, Northeast Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",946,693,1289
"285","Union Station Drive Northeast, Northeast Washington, Washington","91","4300 13th Place Northeast, Northeast Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1162,878,1536
"285","Union Station Drive Northeast, Northeast Washington, Washington","92","3800 Argyle Terrace Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1622,1239,2121
"285","Union Station Drive Northeast, Northeast Washington, Washington","93","4400 Springdale Street Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",2088,1528,2852
"285","Union Station Drive Northeast, Northeast Washington, Washington","94","3700 37th Street Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1973,1641,2371
"285","Union Station Drive Northeast, Northeast Washington, Washington","95","3000 Tilden Street Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",2186,1883,2536
"285","Union Station Drive Northeast, Northeast Washington, Washington","96","4000 Connecticut Avenue Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1740,1363,2220
"285","Union Station Drive Northeast, Northeast Washington, Washington","97","Scale Gate Road Northeast, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",792,556,1127
"285","Union Station Drive Northeast, Northeast Washington, Washington","98","4000 5th Street Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1422,962,2100
"285","Union Station Drive Northeast, Northeast Washington, Washington","99","700 Taylor Street Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1478,1141,1914
"285","Union Station Drive Northeast, Northeast Washington, Washington","100","3900 14th Street Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1450,1109,1894
"285","Union Station Drive Northeast, Northeast Washington, Washington","101","1200 Shepherd Street Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1466,1044,2058
"285","Union Station Drive Northeast, Northeast Washington, Washington","102","2700 Quebec Street Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1688,1306,2181
"285","Union Station Drive Northeast, Northeast Washington, Washington","103","3300 Rowland Place Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1911,1545,2363
"285","Union Station Drive Northeast, Northeast Washington, Washington","104","3600 John McCormack Drive Northeast, Northeast Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",901,658,1233
"285","Union Station Drive Northeast, Northeast Washington, Washington","105","900 Quincy Street Northeast, Northeast Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",965,717,1298
"285","Union Station Drive Northeast, Northeast Washington, Washington","106","1400 Quincy Street Northeast, Northeast Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1099,846,1426
"285","Union Station Drive Northeast, Northeast Washington, Washington","107","2400 Otis Street Northeast, Northeast Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1139,865,1498
"285","Union Station Drive Northeast, Northeast Washington, Washington","108","3700 12th Street Northeast, Northeast Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1012,757,1351
"285","Union Station Drive Northeast, Northeast Washington, Washington","109","Canal Road Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",2616,1968,3476
"285","Union Station Drive Northeast, Northeast Washington, Washington","110","3700 10th Street Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1459,1001,2124
"285","Union Station Drive Northeast, Northeast Washington, Washington","111","800 Randolph Street Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1304,981,1732
"285","Union Station Drive Northeast, Northeast Washington, Washington","112","3800 7th Street Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1357,1005,1831
"285","Union Station Drive Northeast, Northeast Washington, Washington","113","1900 Lawrence Street Northeast, Northeast Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",932,743,1167
"285","Union Station Drive Northeast, Northeast Washington, Washington","114","3100 17th Street Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1431,1169,1750
"285","Union Station Drive Northeast, Northeast Washington, Washington","115","1400 Ogden Street Northwest, Northwest Washington, Washington","3/28/2019 - 3/28/2019, Every day, Daily Average",1465,1199,1789
