"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"285","Union Station Drive Northeast, Northeast Washington, Washington","1","7500 14th Street Northwest, Northwest Washington, Washington","3/27/2019 - 3/27/2019, Every day, Daily Average",1798,1380,2342
"285","Union Station Drive Northeast, Northeast Washington, Washington","2","5300 43rd Street Northwest, Northwest Washington, Washington","3/27/2019 - 3/27/2019, Every day, Daily Average",2066,1617,2639
"285","Union Station Drive Northeast, Northeast Washington, Washington","3","Massachusetts-39th Trail, Northwest Washington, Washington","3/27/2019 - 3/27/2019, Every day, Daily Average",1643,1320,2044
"285","Union Station Drive Northeast, Northeast Washington, Washington","4","1600 21st Street Northwest, Northwest Washington, Washington","3/27/2019 - 3/27/2019, Every day, Daily Average",1155,854,1561
"285","Union Station Drive Northeast, Northeast Washington, Washington","6","800 Mount Vernon Place Northwest, Northwest Washington, Washington","3/27/2019 - 3/27/2019, Every day, Daily Average",571,397,820
"285","Union Station Drive Northeast, Northeast Washington, Washington","7","1700 A Street Southeast, Southeast Washington, Washington","3/27/2019 - 3/27/2019, Every day, Daily Average",775,565,1062
"285","Union Station Drive Northeast, Northeast Washington, Washington","9","1400 Leegate Road Northwest, Northwest Washington, Washington","3/27/2019 - 3/27/2019, Every day, Daily Average",1792,1526,2104
"285","Union Station Drive Northeast, Northeast Washington, Washington","11","Joyce Road Northwest, Northwest Washington, Washington","3/27/2019 - 3/27/2019, Every day, Daily Average",1505,1185,1910
"285","Union Station Drive Northeast, Northeast Washington, Washington","13","7400 9th Street Northwest, Northwest Washington, Washington","3/27/2019 - 3/27/2019, Every day, Daily Average",1332,1064,1666
"285","Union Station Drive Northeast, Northeast Washington, Washington","14","1300 Dahlia Street Northwest, Northwest Washington, Washington","3/27/2019 - 3/27/2019, Every day, Daily Average",1689,1326,2149
"285","Union Station Drive Northeast, Northeast Washington, Washington","16","700 Elder Street Northwest, Northwest Washington, Washington","3/27/2019 - 3/27/2019, Every day, Daily Average",1347,1049,1728
"285","Union Station Drive Northeast, Northeast Washington, Washington","17","6300 31st Street Northwest, Northwest Washington, Washington","3/27/2019 - 3/27/2019, Every day, Daily Average",1924,1669,2217
"285","Union Station Drive Northeast, Northeast Washington, Washington","18","300 Carroll Street Northwest, Northwest Washington, Washington","3/27/2019 - 3/27/2019, Every day, Daily Average",1155,924,1443
"285","Union Station Drive Northeast, Northeast Washington, Washington","19","500 Butternut Street Northwest, Northwest Washington, Washington","3/27/2019 - 3/27/2019, Every day, Daily Average",1147,937,1403
"285","Union Station Drive Northeast, Northeast Washington, Washington","20","3200 Patterson Street Northwest, Northwest Washington, Washington","3/27/2019 - 3/27/2019, Every day, Daily Average",1681,1372,2058
