"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"285","Union Station Drive Northeast, Northeast Washington, Washington","1","7500 14th Street Northwest, Northwest Washington, Washington","3/17/2019 - 3/17/2019, Every day, Daily Average",1820,1388,2385
"285","Union Station Drive Northeast, Northeast Washington, Washington","2","5300 43rd Street Northwest, Northwest Washington, Washington","3/17/2019 - 3/17/2019, Every day, Daily Average",2019,1763,2311
"285","Union Station Drive Northeast, Northeast Washington, Washington","3","Massachusetts-39th Trail, Northwest Washington, Washington","3/17/2019 - 3/17/2019, Every day, Daily Average",1544,1268,1879
"285","Union Station Drive Northeast, Northeast Washington, Washington","4","1600 21st Street Northwest, Northwest Washington, Washington","3/17/2019 - 3/17/2019, Every day, Daily Average",1059,846,1324
"285","Union Station Drive Northeast, Northeast Washington, Washington","5","2400 Martin Luther King Junior Avenue Southeast, Southeast Washington, Washington","3/17/2019 - 3/17/2019, Every day, Daily Average",812,626,1052
"285","Union Station Drive Northeast, Northeast Washington, Washington","6","800 Mount Vernon Place Northwest, Northwest Washington, Washington","3/17/2019 - 3/17/2019, Every day, Daily Average",499,354,701
"285","Union Station Drive Northeast, Northeast Washington, Washington","7","1700 A Street Southeast, Southeast Washington, Washington","3/17/2019 - 3/17/2019, Every day, Daily Average",745,612,906
"285","Union Station Drive Northeast, Northeast Washington, Washington","8","1600 North Portal Drive Northwest, Northwest Washington, Washington","3/17/2019 - 3/17/2019, Every day, Daily Average",3268,1687,6329
"285","Union Station Drive Northeast, Northeast Washington, Washington","9","1400 Leegate Road Northwest, Northwest Washington, Washington","3/17/2019 - 3/17/2019, Every day, Daily Average",1680,1190,2370
"285","Union Station Drive Northeast, Northeast Washington, Washington","11","Joyce Road Northwest, Northwest Washington, Washington","3/17/2019 - 3/17/2019, Every day, Daily Average",1746,1178,2586
"285","Union Station Drive Northeast, Northeast Washington, Washington","13","7400 9th Street Northwest, Northwest Washington, Washington","3/17/2019 - 3/17/2019, Every day, Daily Average",1310,1050,1632
"285","Union Station Drive Northeast, Northeast Washington, Washington","14","1300 Dahlia Street Northwest, Northwest Washington, Washington","3/17/2019 - 3/17/2019, Every day, Daily Average",1629,1251,2120
"285","Union Station Drive Northeast, Northeast Washington, Washington","16","700 Elder Street Northwest, Northwest Washington, Washington","3/17/2019 - 3/17/2019, Every day, Daily Average",1269,998,1613
"285","Union Station Drive Northeast, Northeast Washington, Washington","17","6300 31st Street Northwest, Northwest Washington, Washington","3/17/2019 - 3/17/2019, Every day, Daily Average",1620,1465,1790
"285","Union Station Drive Northeast, Northeast Washington, Washington","18","300 Carroll Street Northwest, Northwest Washington, Washington","3/17/2019 - 3/17/2019, Every day, Daily Average",1125,876,1443
"285","Union Station Drive Northeast, Northeast Washington, Washington","19","500 Butternut Street Northwest, Northwest Washington, Washington","3/17/2019 - 3/17/2019, Every day, Daily Average",1204,959,1510
"285","Union Station Drive Northeast, Northeast Washington, Washington","20","3200 Patterson Street Northwest, Northwest Washington, Washington","3/17/2019 - 3/17/2019, Every day, Daily Average",1665,1360,2038
"285","Union Station Drive Northeast, Northeast Washington, Washington","21","400 Butternut Street Northwest, Northwest Washington, Washington","3/17/2019 - 3/17/2019, Every day, Daily Average",1072,833,1379
"285","Union Station Drive Northeast, Northeast Washington, Washington","22","200 Walnut Street Northwest, Northwest Washington, Washington","3/17/2019 - 3/17/2019, Every day, Daily Average",996,809,1226
"285","Union Station Drive Northeast, Northeast Washington, Washington","23","800 Whittier Place Northwest, Northwest Washington, Washington","3/17/2019 - 3/17/2019, Every day, Daily Average",1532,1302,1801
"285","Union Station Drive Northeast, Northeast Washington, Washington","25","1300 Somerset Place Northwest, Northwest Washington, Washington","3/17/2019 - 3/17/2019, Every day, Daily Average",1434,1137,1808
"285","Union Station Drive Northeast, Northeast Washington, Washington","26","6600 4th Street Northwest, Northwest Washington, Washington","3/17/2019 - 3/17/2019, Every day, Daily Average",1033,804,1326
"285","Union Station Drive Northeast, Northeast Washington, Washington","27","5700 Chevy Chase Parkway Northwest, Northwest Washington, Washington","3/17/2019 - 3/17/2019, Every day, Daily Average",1823,1472,2257
"285","Union Station Drive Northeast, Northeast Washington, Washington","28","0 Tuckerman Street Northwest, Northwest Washington, Washington","3/17/2019 - 3/17/2019, Every day, Daily Average",921,852,995
"285","Union Station Drive Northeast, Northeast Washington, Washington","29","700 Quackenbos Street Northwest, Northwest Washington, Washington","3/17/2019 - 3/17/2019, Every day, Daily Average",1207,950,1533
"285","Union Station Drive Northeast, Northeast Washington, Washington","30","2800 Kanawha Street Northwest, Northwest Washington, Washington","3/17/2019 - 3/17/2019, Every day, Daily Average",1587,1304,1930
"285","Union Station Drive Northeast, Northeast Washington, Washington","31","2500 Horse Stable Road, Northwest Washington, Washington","3/17/2019 - 3/17/2019, Every day, Daily Average",1501,1219,1846
"285","Union Station Drive Northeast, Northeast Washington, Washington","32","200 Quackenbos Street Northwest, Northwest Washington, Washington","3/17/2019 - 3/17/2019, Every day, Daily Average",1019,787,1318
"285","Union Station Drive Northeast, Northeast Washington, Washington","33","5900 Sligo Mill Road Northeast, Northeast Washington, Washington","3/17/2019 - 3/17/2019, Every day, Daily Average",1097,815,1476
"285","Union Station Drive Northeast, Northeast Washington, Washington","34","3900 Livingston Street Northwest, Northwest Washington, Washington","3/17/2019 - 3/17/2019, Every day, Daily Average",1793,1436,2238
"285","Union Station Drive Northeast, Northeast Washington, Washington","35","300 Oglethorpe Street Northeast, Northeast Washington, Washington","3/17/2019 - 3/17/2019, Every day, Daily Average",1063,816,1383
